"$RC_shield_offset [mm]","$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []"
12.7,0.45,510.00272,260.00272,2.53857582775474e-06
12.7,0.45,510.752724,260.752724,2.14799488003108e-06
12.7,0.45,511.502728,261.502728,1.75741393230739e-06
12.7,0.45,512.252732,262.252732,1.36683298458376e-06
12.7,0.45,513.002736,263.002736,1.34445151465346e-06
12.7,0.45,513.75274,263.75274,1.16573816774243e-06
12.7,0.45,514.502744,264.502744,1.05731538302411e-06
12.7,0.45,515.252748,265.252748,8.17540817888383e-07
12.7,0.45,516.002752,266.002752,7.4351997231158e-07
12.7,0.45,516.752756,266.752756,6.69499126734783e-07
12.7,0.45,517.50276,267.50276,6.13786074114604e-07
12.7,0.45,518.252764,268.252764,5.15750332145682e-07
12.7,0.45,519.002768,269.002768,4.17714590176754e-07
12.7,0.45,519.752772,269.752772,3.87509267233924e-07
12.7,0.45,520.502776,270.502776,2.88971148044095e-07
12.7,0.45,521.25278,271.25278,2.60052819186285e-07
12.7,0.45,522.002784,272.002784,2.31134490328473e-07
12.7,0.45,522.752788,272.752788,2.02216161470663e-07
12.7,0.45,523.502792,273.502792,1.73297832612851e-07
12.7,0.45,524.252796,274.252796,1.44379503755041e-07
12.7,0.45,525.0028,275.0028,1.35218854692212e-07
12.7,0.45,525.752804,275.752804,1.18902678236552e-07
12.7,0.45,526.502808,276.502808,1.0258650178089e-07
12.7,0.45,527.252812,277.252812,9.05504325235995e-08
12.7,0.45,528.002816,278.002816,7.25650072656395e-08
12.7,0.45,528.75282,278.75282,6.57076347893965e-08
12.7,0.45,529.502824,279.502824,5.8850262313153e-08
12.7,0.45,530.252828,280.252828,5.38773368697516e-08
12.7,0.45,531.002832,281.002832,4.24910256774846e-08
12.7,0.45,531.752836,281.752836,3.30941448390348e-08
12.7,0.45,532.50284,282.50284,3.12331207954469e-08
12.7,0.45,533.252844,283.252844,2.68606012114947e-08
12.7,0.45,534.002848,284.002848,2.24880816275423e-08
12.7,0.45,534.752852,284.752852,1.81155620435901e-08
12.7,0.45,535.502856,285.502856,1.6325272636574e-08
12.7,0.45,536.25286,286.25286,1.48125750877112e-08
12.7,0.45,537.002864,287.002864,1.32998775388482e-08
12.7,0.45,537.752868,287.752868,1.14185404180889e-08
12.7,0.45,538.502872,288.502872,9.95334530693426e-09
12.7,0.45,539.252876,289.252876,8.48815019577947e-09
12.7,0.45,540.00288,290.00288,6.50670340737579e-09
12.7,0.45,540.752884,290.752884,5.89018985338516e-09
12.7,0.45,541.502888,291.502888,5.26477337835268e-09
12.7,0.45,542.252892,292.252892,4.63935690332016e-09
12.7,0.45,543.002896,293.002896,4.01394042828768e-09
12.7,0.45,543.7529,293.7529,3.38852395325515e-09
12.7,0.45,544.502904,294.502904,3.23067015437043e-09
12.7,0.45,545.252908,295.252908,2.57070890635331e-09
12.7,0.45,546.002912,296.002912,2.28805837865606e-09
12.7,0.45,546.752916,296.752916,2.00540785095879e-09
12.7,0.45,547.50292,297.50292,1.74144805795157e-09
12.7,0.45,548.252924,298.252924,1.54836111464262e-09
12.7,0.45,549.002928,299.002928,1.3092268483833e-09
12.7,0.45,549.752932,299.752932,9.72215424250604e-10
12.7,0.45,550.502936,300.502936,8.31340481913236e-10
12.7,0.45,551.25294,301.25294,7.7713644078693e-10
12.7,0.45,552.002944,302.002944,7.22932399660627e-10
12.7,0.45,552.752948,302.752948,6.44520272627606e-10
12.7,0.45,553.502952,303.502952,5.65828188976376e-10
12.7,0.45,554.252956,304.252956,4.8713610532514e-10
12.7,0.45,555.00296,305.00296,4.08444021673911e-10
12.7,0.45,555.752964,305.752964,3.29751938022676e-10
12.7,0.45,556.502968,306.502968,2.51059854371446e-10
12.7,0.45,557.252972,307.252972,2.19445975941354e-10
12.7,0.45,558.002976,308.002976,2.01548592981921e-10
12.7,0.45,558.75298,308.75298,1.83651210022487e-10
12.7,0.45,559.502984,309.502984,1.65753827063054e-10
12.7,0.45,560.252988,310.252988,1.46320931194302e-10
12.7,0.45,561.002992,311.002992,1.2724515052593e-10
12.7,0.45,561.752996,311.752996,1.08169369857557e-10
12.7,0.45,562.503,312.503,8.90935891891857e-11
12.7,0.45,563.253004,313.253004,8.44738222896582e-11
12.7,0.45,564.003008,314.003008,6.70018502865539e-11
12.7,0.45,564.753012,314.753012,6.00011328761592e-11
12.7,0.45,565.503016,315.503016,5.31288734961518e-11
12.7,0.45,566.25302,316.25302,4.62566141161438e-11
12.7,0.45,567.003024,317.003024,3.90711870808763e-11
12.7,0.45,567.753028,317.753028,3.15654494752139e-11
12.7,0.45,568.503032,318.503032,2.85077749856628e-11
12.7,0.45,569.253036,319.253036,2.49549179164972e-11
12.7,0.45,570.00304,320.00304,2.06320846196379e-11
12.7,0.45,570.753044,320.753044,1.83431762547624e-11
12.7,0.45,571.503048,321.503048,1.60542678898868e-11
12.7,0.45,572.253052,322.253052,1.37653595250113e-11
12.7,0.45,573.003056,323.003056,1.14764511601357e-11
12.7,0.45,573.75306,323.75306,1.01452135445175e-11
12.7,0.45,574.503064,324.503064,8.98618364402634e-12
12.7,0.45,575.253068,325.253068,7.55520863733581e-12
12.7,0.45,576.003072,326.003072,6.71536831248458e-12
12.7,0.45,576.753076,326.753076,5.87552798763343e-12
12.7,0.45,577.50308,327.50308,5.0356876627822e-12
12.7,0.45,578.253084,328.253084,4.48607068259317e-12
12.7,0.45,579.003088,329.003088,4.07085721492353e-12
12.7,0.45,579.753092,329.753092,2.95985097311666e-12
12.7,0.45,580.503096,330.503096,2.69449332712145e-12
12.7,0.45,581.2531,331.2531,2.42913568112625e-12
12.7,0.45,582.003104,332.003104,2.17886873741042e-12
12.7,0.45,582.753108,332.753108,1.87815152224476e-12
12.7,0.45,583.503112,333.503112,1.57743430707908e-12
12.7,0.45,584.253116,334.253116,1.21065358664854e-12
12.7,0.45,585.00312,335.00312,1.24096073930305e-12
12.7,0.45,585.753124,335.753124,9.99615514636563e-13
12.7,0.45,586.503128,336.503128,8.91422601947793e-13
12.7,0.45,587.253132,337.253132,7.44369675714822e-13
12.7,0.45,588.003136,338.003136,6.2125866829016e-13
12.7,0.45,588.75314,338.75314,5.52557614015903e-13
12.7,0.45,589.503144,339.503144,4.83856559741641e-13
12.7,0.45,590.253148,340.253148,4.37311921518991e-13
12.7,0.45,591.003152,341.003152,3.80850786907826e-13
12.7,0.45,591.753156,341.753156,3.24389652296666e-13
12.7,0.45,592.50316,342.50316,2.64857425687342e-13
12.7,0.45,593.253164,343.253164,2.37903953194164e-13
12.7,0.45,594.003168,344.003168,2.10950480700985e-13
12.7,0.45,594.753172,344.753172,1.83997008207808e-13
12.7,0.45,595.503176,345.503176,1.57043535714628e-13
12.7,0.45,596.25318,346.25318,1.30090063221451e-13
12.7,0.45,597.003184,347.003184,1.0149531266374e-13
12.7,0.45,597.753188,347.753188,9.51461637085755e-14
12.7,0.45,598.503192,348.503192,8.56770475978034e-14
12.7,0.45,599.253196,349.253196,7.62079314870319e-14
12.7,0.45,600.0032,350.0032,6.67388153762599e-14
12.7,0.45,600.753204,350.753204,5.72696992654884e-14
12.7,0.45,601.503208,351.503208,4.78005831547163e-14
12.7,0.45,602.253212,352.253212,4.46914704402399e-14
12.7,0.45,603.003216,353.003216,3.28234589689433e-14
12.7,0.45,603.75322,353.75322,3.00426270688306e-14
12.7,0.45,604.503224,354.503224,2.72598346129629e-14
12.7,0.45,605.253228,355.253228,2.37510517997453e-14
12.7,0.45,606.003232,356.003232,1.98964945474218e-14
12.7,0.45,606.753236,356.753236,1.62035824328226e-14
12.7,0.45,607.50324,357.50324,1.44863946494952e-14
12.7,0.45,608.253244,358.253244,1.30811745584215e-14
12.7,0.45,609.003248,359.003248,1.16759544673479e-14
12.7,0.45,609.753252,359.753252,1.02707343762742e-14
12.7,0.45,610.503256,360.503256,8.68467161990274e-15
12.7,0.45,611.25326,361.25326,7.21071917485805e-15
12.7,0.45,612.003264,362.003264,5.73676672981348e-15
12.7,0.45,612.753268,362.753268,5.21802191345923e-15
12.7,0.45,613.503272,363.503272,4.72954945076876e-15
12.7,0.45,614.253276,364.253276,4.24107698807824e-15
12.7,0.45,615.00328,365.00328,3.75260452538777e-15
12.7,0.45,615.753284,365.753284,3.12479004672112e-15
12.7,0.45,616.503288,366.503288,2.56642323613668e-15
12.7,0.45,617.253292,367.253292,2.00805642555219e-15
12.7,0.45,618.003296,368.003296,1.94921613580604e-15
12.7,0.45,618.7533,368.7533,1.76907493626939e-15
12.7,0.45,619.503304,369.503304,1.58602476614323e-15
12.7,0.45,620.253308,370.253308,1.32315001064468e-15
12.7,0.45,621.003312,371.003312,1.12182944518439e-15
12.7,0.45,621.753316,371.753316,9.2050887972409e-16
12.7,0.45,622.50332,372.50332,7.19188314263801e-16
12.7,0.45,623.253324,373.253324,6.36481573559554e-16
12.7,0.45,624.003328,374.003328,5.7962909248142e-16
12.7,0.45,624.753332,374.753332,5.22776611403281e-16
12.7,0.45,625.503336,375.503336,4.65924130325146e-16
12.7,0.45,626.25334,376.25334,4.09071649247008e-16
12.7,0.45,627.003344,377.003344,3.52219168168873e-16
12.7,0.45,627.753348,377.753348,2.96470071966421e-16
12.7,0.45,628.503352,378.503352,2.54469734776964e-16
12.7,0.45,629.253356,379.253356,2.29465215147711e-16
12.7,0.45,630.00336,380.00336,1.84986759507278e-16
12.7,0.45,630.753364,380.753364,1.64743955983659e-16
12.7,0.45,631.503368,381.503368,1.44501152460041e-16
12.7,0.45,632.253372,382.253372,1.24258348936421e-16
12.7,0.45,633.003376,383.003376,1.04015545412803e-16
12.7,0.45,633.75338,383.75338,8.3772741889184e-17
12.7,0.45,634.503384,384.503384,6.35299383655661e-17
12.7,0.45,635.253388,385.253388,7.3953362804289e-17
12.7,0.45,636.003392,386.003392,5.36853544360684e-17
12.7,0.45,636.753396,386.753396,4.92827362847496e-17
12.7,0.45,637.5034,387.5034,4.62965782148861e-17
12.7,0.45,638.253404,388.253404,4.05532640684854e-17
12.7,0.45,639.003408,389.003408,3.45085016121748e-17
12.7,0.45,639.753412,389.753412,2.84637391558646e-17
12.7,0.45,640.503416,390.503416,2.24189766995539e-17
12.7,0.45,641.25342,391.25342,2.24543152114595e-17
12.7,0.45,642.003424,392.003424,1.75266736536308e-17
12.7,0.45,642.753428,392.753428,1.62314384734681e-17
12.7,0.45,643.503432,393.503432,1.33326724974602e-17
12.7,0.45,644.253436,394.253436,1.20004417266765e-17
12.7,0.45,645.00344,395.00344,1.03888628095702e-17
12.7,0.45,645.753444,395.753444,9.05070471279175e-18
12.7,0.45,646.503448,396.503448,7.71254661601325e-18
12.7,0.45,647.253452,397.253452,6.37438851923483e-18
12.7,0.45,648.003456,398.003456,5.03623042245632e-18
12.7,0.45,648.75346,398.75346,4.70630943591892e-18
12.7,0.45,649.503464,399.503464,4.08147402854136e-18
12.7,0.45,650.253468,400.253468,3.69133272799299e-18
12.7,0.45,651.003472,401.003472,3.30119142744459e-18
12.7,0.45,651.753476,401.753476,2.91105012689621e-18
12.7,0.45,652.50348,402.50348,2.52090882634781e-18
12.7,0.45,653.253484,403.253484,2.0919937686537e-18
12.7,0.45,654.003488,404.003488,1.89535923000375e-18
12.7,0.45,654.753492,404.753492,1.46922082861034e-18
12.7,0.45,655.503496,405.503496,1.34182623274922e-18
12.7,0.45,656.2535,406.2535,1.2032799639631e-18
12.7,0.45,657.003504,407.003504,1.04611487030304e-18
12.7,0.45,657.753508,407.753508,8.8894977664298e-19
12.7,0.45,658.503512,408.503512,7.31784682982913e-19
12.7,0.45,659.253516,409.253516,5.74619589322857e-19
12.7,0.45,660.00352,410.00352,5.2815350922068e-19
12.7,0.45,660.753524,410.753524,4.69691671956143e-19
12.7,0.45,661.503528,411.503528,4.11229834691602e-19
12.7,0.45,662.253532,412.253532,3.52767997427065e-19
12.7,0.45,663.003536,413.003536,3.03244624639281e-19
12.7,0.45,663.75354,413.75354,2.74260174231404e-19
12.7,0.45,664.503544,414.503544,2.45275723823525e-19
12.7,0.45,665.253548,415.253548,1.89976255805776e-19
12.7,0.45,666.003552,416.003552,1.7023909073056e-19
12.7,0.45,666.753556,416.753556,1.42255078695572e-19
12.7,0.45,667.50356,417.50356,1.21501976015326e-19
12.7,0.45,668.253564,418.253564,1.15941723033032e-19
12.7,0.45,669.003568,419.003568,1.03152631236888e-19
12.7,0.45,669.753572,419.753572,8.73755633337117e-20
12.7,0.45,670.503576,420.503576,7.62608435744961e-20
12.7,0.45,671.25358,421.25358,5.77922730042743e-20
12.7,0.45,672.003584,422.003584,5.14899154479005e-20
12.7,0.45,672.753588,422.753588,4.51875578915261e-20
12.7,0.45,673.503592,423.503592,4.2207290269775e-20
12.7,0.45,674.253596,424.253596,3.4033931742159e-20
12.7,0.45,675.0036,425.0036,2.8642027628271e-20
12.7,0.45,675.753604,425.753604,2.32501235143825e-20
12.7,0.45,676.503608,426.503608,2.11845297706602e-20
12.7,0.45,677.253612,427.253612,1.91483979259199e-20
12.7,0.45,678.003616,428.003616,1.65820673715661e-20
12.7,0.45,678.75362,428.75362,1.49841875339882e-20
12.7,0.45,679.503624,429.503624,1.33863076964105e-20
12.7,0.45,680.253628,430.253628,1.14588030579005e-20
12.7,0.45,681.003632,431.003632,9.48406363839584e-21
12.7,0.45,681.753636,431.753636,7.46216811675546e-21
12.7,0.45,682.50364,432.50364,6.80970319409063e-21
12.7,0.45,683.253644,433.253644,6.14398755081983e-21
12.7,0.45,684.003648,434.003648,5.45743243498331e-21
12.7,0.45,684.753652,434.753652,4.6457587782498e-21
12.7,0.45,685.503656,435.503656,3.87665020839592e-21
12.7,0.45,686.25366,436.25366,3.10754163854199e-21
12.7,0.45,687.003664,437.003664,2.62178928488147e-21
12.7,0.45,687.753668,437.753668,2.39182830545602e-21
12.7,0.45,688.503672,438.503672,2.16186732603059e-21
12.7,0.45,689.253676,439.253676,1.90876032761998e-21
12.7,0.45,690.00368,440.00368,1.61717383263674e-21
12.7,0.45,690.753684,440.753684,1.32558733765348e-21
12.7,0.45,691.503688,441.503688,1.33464933113415e-21
12.7,0.45,692.253692,442.253692,1.18273288234485e-21
12.7,0.45,693.003696,443.003696,8.97962271070561e-22
12.7,0.45,693.7537,443.7537,7.84678193894779e-22
12.7,0.45,694.503704,444.503704,6.71394116719006e-22
12.7,0.45,695.253708,445.253708,5.58277333465257e-22
12.7,0.45,696.003712,446.003712,4.92536332704301e-22
12.7,0.45,696.753716,446.753716,4.415747744433e-22
12.7,0.45,697.50372,447.50372,3.90613216182303e-22
12.7,0.45,698.253724,448.253724,3.39651657921306e-22
12.7,0.45,699.003728,449.003728,2.7460086888683e-22
12.7,0.45,699.753732,449.753732,2.48305608712884e-22
12.7,0.45,700.503736,450.503736,2.17315922565271e-22
12.7,0.45,701.25374,451.25374,1.86441516666701e-22
12.7,0.45,702.003744,452.003744,1.69900089350712e-22
12.7,0.45,702.753748,452.753748,1.39488633209699e-22
12.7,0.45,703.503752,453.503752,1.16153404734157e-22
12.7,0.45,704.253756,454.253756,1.02496943637918e-22
12.7,0.45,705.00376,455.00376,8.26951068832203e-23
12.7,0.45,705.753764,455.753764,7.44610611904385e-23
12.7,0.45,706.503768,456.503768,6.62270154976562e-23
12.7,0.45,707.253772,457.253772,5.79929698048744e-23
12.7,0.45,708.003776,458.003776,4.97589241120921e-23
12.7,0.45,708.75378,458.75378,3.95259116279156e-23
12.7,0.45,709.503784,459.503784,3.20509315860879e-23
12.7,0.45,710.253788,460.253788,2.93694501026195e-23
12.7,0.45,711.003792,461.003792,2.6687968619151e-23
12.7,0.45,711.753796,461.753796,2.40064871356827e-23
12.7,0.45,712.5038,462.5038,2.145514689535e-23
12.7,0.45,713.253804,463.253804,1.83353160240422e-23
12.7,0.45,714.003808,464.003808,1.52154851527343e-23
12.7,0.45,714.753812,464.753812,1.48173639646538e-23
12.7,0.45,715.503816,465.503816,1.08068130997611e-23
12.7,0.45,716.25382,466.25382,9.94075133173115e-24
12.7,0.45,717.003824,467.003824,8.3431383969414e-24
12.7,0.45,717.753828,467.753828,7.41649766374167e-24
12.7,0.45,718.503832,468.503832,6.48985693054186e-24
12.7,0.45,719.253836,469.253836,5.56321619734213e-24
12.7,0.45,720.00384,470.00384,4.63657546414233e-24
12.7,0.45,720.753844,470.753844,3.70993473094259e-24
12.7,0.45,721.503848,471.503848,2.78329399774279e-24
12.7,0.45,722.253852,472.253852,3.05369938599284e-24
12.7,0.45,723.003856,473.003856,2.74148839602616e-24
12.7,0.45,723.75386,473.75386,2.21234794056798e-24
12.7,0.45,724.503864,474.503864,1.96110093504043e-24
12.7,0.45,725.253868,475.253868,1.70616542885649e-24
12.7,0.45,726.003872,476.003872,1.45122992267253e-24
12.7,0.45,726.753876,476.753876,1.30047971033055e-24
12.7,0.45,727.50388,477.50388,1.13751623442864e-24
12.7,0.45,728.253884,478.253884,9.50581432778124e-25
12.7,0.45,729.003888,479.003888,7.66037536987514e-25
12.7,0.45,729.753892,479.753892,6.91114135466462e-25
12.7,0.45,730.503896,480.503896,6.18607936835754e-25
12.7,0.45,731.2539,481.2539,5.46101738205039e-25
12.7,0.45,732.003904,482.003904,4.73595539574331e-25
12.7,0.45,732.753908,482.753908,3.73560611746485e-25
12.7,0.45,733.503912,483.503912,3.33192636135802e-25
12.7,0.45,734.253916,484.253916,2.94692855252323e-25
12.7,0.45,735.00392,485.00392,2.58207983365809e-25
12.7,0.45,735.753924,485.753924,2.21723111479293e-25
12.7,0.45,736.503928,486.503928,1.85238239592779e-25
12.7,0.45,737.253932,487.253932,1.64363765744545e-25
12.7,0.45,738.003936,488.003936,1.45427108071474e-25
12.7,0.45,738.75394,488.75394,1.21221394195886e-25
12.7,0.45,739.503944,489.503944,1.09823260103565e-25
12.7,0.45,740.253948,490.253948,9.71383749682751e-26
12.7,0.45,741.003952,491.003952,8.44534898329858e-26
12.7,0.45,741.753956,491.753956,7.17686046976956e-26
12.7,0.45,742.50396,492.50396,6.49185677042981e-26
12.7,0.45,743.253964,493.253964,5.75799945414874e-26
12.7,0.45,744.003968,494.003968,4.67515139919213e-26
12.7,0.45,744.753972,494.753972,4.35954906096722e-26
12.7,0.45,745.503976,495.503976,3.81122936128796e-26
12.7,0.45,746.25398,496.25398,3.61214804393e-26
12.7,0.45,747.003984,497.003984,3.41306672657206e-26
12.7,0.45,747.753988,497.753988,3.19227986035742e-26
12.7,0.45,748.503992,498.503992,2.87554905803693e-26
12.7,0.45,749.253996,499.253996,2.55881825571642e-26
12.7,0.45,750.004,500.004,2.24208745339593e-26
